"Title",Rate,"Category",Year
"Apocalypto",7.8,"Action, Adventure, Drama",2006
"Hot Fuzz",7.8,"Action, Comedy, Mystery",2007
"Serenity",7.8,"Action, Adventure, Sci-Fi",2005
"Gongdong gyeongbi guyeok JSA",7.8,"Action, Drama, Thriller",2000
"The Count of Monte Cristo",7.8,"Action, Adventure, Drama",2002
"Wo hu cang long",7.8,"Action, Adventure, Fantasy",2000
"The Boondock Saints",7.8,"Action, Crime, Thriller",1999
"Tombstone",7.8,"Action, Biography, Drama",1993
"The Fugitive",7.8,"Action, Crime, Drama",1993
"Batman: Mask of the Phantasm",7.8,"Animation, Action, Crime",1993
"Lat sau san taam",7.8,"Action, Crime, Thriller",1992
"Dip huet seung hung",7.8,"Action, Crime, Drama",1989
"Predator",7.8,"Action, Adventure, Sci-Fi",1987
"Ghostbusters",7.8,"Action, Comedy, Fantasy",1984
"Bonnie and Clyde",7.8,"Action, Biography, Crime",1967
"The Longest Day",7.8,"Action, Drama, History",1962
"Red River",7.8,"Action, Adventure, Drama",1948
"Key Largo",7.8,"Action, Crime, Drama",1948
"Deadpool 2",7.7,"Action, Adventure, Comedy",2018
"Mission: Impossible - Fallout",7.7,"Action, Adventure, Thriller",2018
"Kingsman: The Secret Service",7.7,"Action, Adventure, Comedy",2014
"Captain America: The Winter Soldier",7.7,"Action, Adventure, Sci-Fi",2014
"The Lego Movie",7.7,"Animation, Action, Adventure",2014
"Star Trek Into Darkness",7.7,"Action, Adventure, Sci-Fi",2013
"X: First Class",7.7,"Action, Adventure, Sci-Fi",2011
"Skyfall",7.7,"Action, Adventure, Thriller",2012
"3:10 to Yuma",7.7,"Action, Adventure, Crime",2007
"Kung fu",7.7,"Action, Comedy, Fantasy",2004
"The Bourne Supremacy",7.7,"Action, Mystery, Thriller",2004
"Man on Fire",7.7,"Action, Crime, Drama",2004
"The Last Samurai",7.7,"Action, Drama, War",2003
"Vampire Hunter D: Bloodlust",7.7,"Animation, Action, Fantasy",2000
"The Fifth Element",7.7,"Action, Adventure, Sci-Fi",1997
"The Last of the Mohicans",7.7,"Action, Adventure, Drama",1992
"Empire of the Sun",7.7,"Action, Drama, History",1987
"Star Trek II: The Wrath of Khan",7.7,"Action, Adventure, Sci-Fi",1982
"First Blood",7.7,"Action, Adventure",1982
"The Taking of Pelham One Two Three",7.7,"Action, Crime, Thriller",1974
"Enter the Dragon",7.7,"Action, Crime, Drama",1973
"The French Connection",7.7,"Action, Crime, Drama",1971
"Dirty Harry",7.7,"Action, Crime, Thriller",1971
"Where Eagles Dare",7.7,"Action, Adventure, War",1968
"The Dirty Dozen",7.7,"Action, Adventure, War",1967
"Goldfinger",7.7,"Action, Adventure, Thriller",1964
"The Magnificent Seven",7.7,"Action, Adventure, Western",1960
"Hotel Mumbai",7.6,"Action, Drama, History",2018
"Guardians of the Galaxy Vol. 2",7.6,"Action, Adventure, Comedy",2017
"Baby Driver",7.6,"Action, Crime, Drama",2017
"Only the Brave",7.6,"Action, Biography, Drama",2017
"Incredibles 2",7.6,"Animation, Action, Adventure",2018
"Sicario",7.6,"Action, Crime, Drama",2015
"Fury",7.6,"Action, Drama, War",2014
"Dawn of the Planet of the Apes",7.6,"Action, Adventure, Drama",2014
"Delhi Belly",7.6,"Action, Comedy, Crime",2011
"Serbuan maut",7.6,"Action, Thriller",2011
"End of Watch",7.6,"Action, Crime, Drama",2012
"Jûsan-nin no shikaku",7.6,"Action, Adventure, Drama",2010
"Rise of the Planet of the Apes",7.6,"Action, Drama, Sci-Fi",2011
"Kick-Ass",7.6,"Action, Comedy, Crime",2010
"Celda 211",7.6,"Action, Adventure, Crime",2009
"Sherlock Holmes",7.6,"Action, Adventure, Mystery",2009
"Eastern Promises",7.6,"Action, Crime, Drama",2007
"Dalkomhan insaeng",7.6,"Action, Crime, Drama",2005
"Jodhaa Akbar",7.6,"Action, Drama, History",2008
"Huo Yuan Jia",7.6,"Action, Biography, Drama",2006
"Harry Potter and the Half-Blood Prince",7.6,"Action, Adventure, Family",2009
"300",7.6,"Action, Drama",2006
"Watchmen",7.6,"Action, Drama, Mystery",2009
"Lord of War",7.6,"Action, Crime, Drama",2005
"Minority Report",7.6,"Action, Crime, Mystery",2002
"Star Trek: First Contact",7.6,"Action, Adventure, Drama",1996
"Die Hard: With a Vengeance",7.6,"Action, Adventure, Thriller",1995
"Jui kuen II",7.6,"Action, Comedy",1994
"The Crow",7.6,"Action, Drama, Fantasy",1994
"The Hunt for Red October",7.6,"Action, Adventure, Thriller",1990
"Lethal Weapon",7.6,"Action, Crime, Thriller",1987
"Ging chaat goo si",7.6,"Action, Comedy, Crime",1985
"Indiana Jones and the Temple of Doom",7.6,"Action, Adventure",1984
"Mad Max 2",7.6,"Action, Adventure, Sci-Fi",1981
"The Warriors",7.6,"Action, Crime, Thriller",1979
"Forbidden Planet",7.6,"Action, Adventure, Sci-Fi",1956
"Upgrade",7.5,"Action, Horror, Sci-Fi",2018
"Spider-Man: Far from Home",7.5,"Action, Adventure, Sci-Fi",2019
"John Wick: Chapter 3 - Parabellum",7.5,"Action, Crime, Thriller",2019
"Busanhaeng",7.5,"Action, Horror, Thriller",2016
"John Wick: Chapter 2",7.5,"Action, Crime, Thriller",2017
"How to Train Your Dragon: The Hidden World",7.5,"Animation, Action, Adventure",2019
"The Hunger Games: Catching Fire",7.5,"Action, Adventure, Mystery",2013
"Ready Player One",7.5,"Action, Adventure, Sci-Fi",2018
"Hodejegerne",7.5,"Action, Crime, Thriller",2011
"Sherlock Holmes: A Game of Shadows",7.5,"Action, Adventure, Mystery",2011
"Samâ uôzu",7.5,"Animation, Action, Adventure",2009
"Yip Man 2",7.5,"Action, Biography, Drama",2010
"L'instinct de mort",7.5,"Action, Biography, Crime",2008
"Doctor Strange",7.5,"Action, Adventure, Fantasy",2016
"Lone Survivor",7.5,"Action, Biography, Drama",2013
"Source Code",7.5,"Action, Drama, Mystery",2011
"Grindhouse",7.5,"Action, Horror, Thriller",2007
"Scott Pilgrim vs. the World",7.5,"Action, Comedy, Fantasy",2010
"Kung Fu Panda",7.5,"Animation, Action, Adventure",2008
"L'ennemi public n°1",7.5,"Action, Biography, Crime",2008
"Munich",7.5,"Action, Drama, History",2005
"Shi mian mai fu",7.5,"Action, Adventure, Drama",2004
"Harry Potter and the Order of the Phoenix",7.5,"Action, Adventure, Family",2007
"Kiss Kiss Bang Bang",7.5,"Action, Comedy, Crime",2005
"Zatôichi",7.5,"Action, Comedy, Crime",2003
"Ghost Dog: The Way of the Samurai",7.5,"Action, Crime, Drama",1999
"Star Wars: Episode III - Revenge of the Sith",7.5,"Action, Adventure, Fantasy",2005
"Total Recall",7.5,"Action, Sci-Fi, Thriller",1990
"Henry V",7.5,"Action, Biography, Drama",1989
"Batman",7.5,"Action, Adventure",1989
"Midnight Run",7.5,"Action, Comedy, Crime",1988
"RoboCop",7.5,"Action, Crime, Sci-Fi",1987
"Zui quan",7.5,"Action, Comedy",1978
"Tora! Tora! Tora!",7.5,"Action, Drama, History",1970
"It's a Mad Mad Mad Mad World",7.5,"Action, Adventure, Comedy",1963
"The Guns of Navarone",7.5,"Action, Adventure, Drama",1961
"Patriots Day",7.4,"Action, Crime, Drama",2016
"The Nice Guys",7.4,"Action, Comedy, Crime",2016
"War for the Planet of the Apes",7.4,"Action, Adventure, Drama",2017
"John Wick",7.4,"Action, Crime, Thriller",2014
"Mission: Impossible - Rogue Nation",7.4,"Action, Adventure, Thriller",2015
"Spider-Man: Homecoming",7.4,"Action, Adventure, Sci-Fi",2017
"The Next Three Days",7.4,"Action, Crime, Drama",2010
"Cloud Atlas",7.4,"Action, Drama, Mystery",2012
"Looper",7.4,"Action, Adventure, Crime",2012
