"Title",Rate,"Category",Year
"El cuerpo",7.6,"Mystery, Thriller",2012
"Serbuan maut",7.6,"Action, Thriller",2011
"End of Watch",7.6,"Action, Crime, Drama",2012
"Lo imposible",7.6,"Drama, History, Thriller",2012
"Rise of the Planet of the Apes",7.6,"Action, Drama, Sci-Fi",2011
"Celda 211",7.6,"Action, Adventure, Crime",2009
"La piel que habito",7.6,"Drama, Horror, Thriller",2011
"Sin nombre",7.6,"Adventure, Crime, Drama",2009
"Die Welle",7.6,"Drama, Thriller",2008
"The Hurt Locker",7.6,"Drama, Thriller, War",2008
"Eastern Promises",7.6,"Action, Crime, Drama",2007
"Dalkomhan insaeng",7.6,"Action, Crime, Drama",2005
"Inside Man",7.6,"Crime, Drama, Mystery",2006
"Gone Baby Gone",7.6,"Crime, Drama, Mystery",2007
"Chinjeolhan geumjassi",7.6,"Crime, Drama, Thriller",2005
"The Illusionist",7.6,"Drama, Fantasy, History",2006
"Sophie Scholl - Die letzten Tage",7.6,"Biography, Crime, Drama",2005
"Dead Man's Shoes",7.6,"Crime, Drama, Thriller",2004
"Match Point",7.6,"Drama, Romance, Thriller",2005
"Boksuneun naui geot",7.6,"Crime, Drama, Thriller",2002
"The Life of David Gale",7.6,"Crime, Drama, Thriller",2003
"The Butterfly Effect",7.6,"Drama, Sci-Fi, Thriller",2004
"28 Days Later...",7.6,"Drama, Horror, Sci-Fi",2002
"Batoru rowaiaru",7.6,"Adventure, Drama, Sci-Fi",2000
"The Others",7.6,"Horror, Mystery, Thriller",2001
"Traffic",7.6,"Crime, Drama, Thriller",2000
"Minority Report",7.6,"Action, Crime, Mystery",2002
"Lola rennt",7.6,"Crime, Drama, Thriller",1998
"Funny Games",7.6,"Crime, Drama, Thriller",1997
"Dark City",7.6,"Mystery, Sci-Fi, Thriller",1998
"Star Trek: First Contact",7.6,"Action, Adventure, Drama",1996
"Sleepers",7.6,"Crime, Drama, Thriller",1996
"Lost Highway",7.6,"Mystery, Thriller",1997
"Die Hard: With a Vengeance",7.6,"Action, Adventure, Thriller",1995
"A Perfect World",7.6,"Crime, Drama, Thriller",1993
"Falling Down",7.6,"Crime, Drama, Thriller",1993
"The Hunt for Red October",7.6,"Action, Adventure, Thriller",1990
"The Abyss",7.6,"Adventure, Drama, Mystery",1989
"Lethal Weapon",7.6,"Action, Crime, Thriller",1987
"Ging chaat goo si",7.6,"Action, Comedy, Crime",1985
"Blood Simple",7.6,"Crime, Drama, Thriller",1984
"The Secret of NIMH",7.6,"Animation, Adventure, Drama",1982
"Mad Max 2",7.6,"Action, Adventure, Sci-Fi",1981
"The Warriors",7.6,"Action, Crime, Thriller",1979
"Escape from Alcatraz",7.6,"Biography, Crime, Drama",1979
"Watership Down",7.6,"Animation, Adventure, Drama",1978
"Midnight Express",7.6,"Biography, Crime, Drama",1978
"Profondo rosso",7.6,"Horror, Mystery, Thriller",1975
"Blowup",7.6,"Drama, Mystery, Thriller",1966
"The Time Machine",7.6,"Adventure, Romance, Sci-Fi",1960
"Forbidden Planet",7.6,"Action, Adventure, Sci-Fi",1956
"Gojira",7.6,"Drama, Horror, Sci-Fi",1954
"The Lady from Shanghai",7.6,"Crime, Drama, Film-Noir",1947
"Spellbound",7.6,"Film-Noir, Mystery, Romance",1945
"The 39 Steps",7.6,"Film-Noir, Mystery, Thriller",1935
"Den skyldige",7.5,"Crime, Drama, Thriller",2018
"Upgrade",7.5,"Action, Horror, Sci-Fi",2018
"John Wick: Chapter 3 - Parabellum",7.5,"Action, Crime, Thriller",2019
"Uncut Gems",7.5,"Crime, Drama, Thriller",2019
"Busanhaeng",7.5,"Action, Horror, Thriller",2016
"Gok-seong",7.5,"Horror, Mystery, Thriller",2016
"Nocturnal Animals",7.5,"Drama, Thriller",2016
"Miss Sloane",7.5,"Drama, Thriller",2016
"John Wick: Chapter 2",7.5,"Action, Crime, Thriller",2017
"The Hunger Games: Catching Fire",7.5,"Action, Adventure, Mystery",2013
"Hodejegerne",7.5,"Action, Crime, Thriller",2011
"Samâ uôzu",7.5,"Animation, Action, Adventure",2009
"The Conjuring",7.5,"Horror, Mystery, Thriller",2013
"L'instinct de mort",7.5,"Action, Biography, Crime",2008
"We Need to Talk About Kevin",7.5,"Drama, Mystery, Thriller",2011
"Source Code",7.5,"Action, Drama, Mystery",2011
"The Town",7.5,"Crime, Drama, Thriller",2010
"Se, jie",7.5,"Drama, History, Romance",2007
"United 93",7.5,"Drama, History, Thriller",2006
"Grindhouse",7.5,"Action, Horror, Thriller",2007
"L'ennemi public n°1",7.5,"Action, Biography, Crime",2008
"Munich",7.5,"Action, Drama, History",2005
"Kiss Kiss Bang Bang",7.5,"Action, Comedy, Crime",2005
"Collateral",7.5,"Crime, Drama, Thriller",2004
"Zatôichi",7.5,"Action, Comedy, Crime",2003
"Ne le dis à personne",7.5,"Crime, Drama, Mystery",2006
"Inosensu: Innocence",7.5,"Animation, Drama, Sci-Fi",2004
"Ghost Dog: The Way of the Samurai",7.5,"Action, Crime, Drama",1999
"Following",7.5,"Crime, Mystery, Thriller",1998
"A Simple Plan",7.5,"Crime, Drama, Thriller",1998
"Jackie Brown",7.5,"Crime, Drama, Thriller",1997
"The Devil's Advocate",7.5,"Drama, Mystery, Thriller",1997
"A Time to Kill",7.5,"Crime, Drama, Thriller",1996
"Menace II Society",7.5,"Crime, Drama, Thriller",1993
"The Player",7.5,"Comedy, Crime, Drama",1992
"Total Recall",7.5,"Action, Sci-Fi, Thriller",1990
"Midnight Run",7.5,"Action, Comedy, Crime",1988
"RoboCop",7.5,"Action, Crime, Sci-Fi",1987
"Marathon Man",7.5,"Crime, Thriller",1976
"The Wicker Man",7.5,"Horror, Mystery, Thriller",1973
"Straw Dogs",7.5,"Crime, Drama, Thriller",1971
"The Man Who Knew Too Much",7.5,"Drama, Thriller",1956
"Durante la tormenta",7.4,"Drama, Mystery, Romance",2018
"Doctor Sleep",7.4,"Drama, Fantasy, Horror",2019
"Good Time",7.4,"Crime, Drama, Thriller",2017
"Patriots Day",7.4,"Action, Crime, Drama",2016
"Darkest Hour",7.4,"Biography, Drama, Family",2017
"The Nice Guys",7.4,"Action, Comedy, Crime",2016
"War for the Planet of the Apes",7.4,"Action, Adventure, Drama",2017
"John Wick",7.4,"Action, Crime, Thriller",2014
"Mission: Impossible - Rogue Nation",7.4,"Action, Adventure, Thriller",2015
"Dans la maison",7.4,"Drama, Mystery, Thriller",2012
"Zero Dark Thirty",7.4,"Drama, History, Thriller",2012
"La cara oculta",7.4,"Drama, Mystery, Thriller",2011
"Take Shelter",7.4,"Drama, Horror, Thriller",2011
"Av Mevsimi",7.4,"Crime, Drama, Mystery",2010
"The Next Three Days",7.4,"Action, Crime, Drama",2010
"Looper",7.4,"Action, Adventure, Crime",2012
"Mission: Impossible - Ghost Protocol",7.4,"Action, Adventure, Thriller",2011
"Law Abiding Citizen",7.4,"Action, Crime, Drama",2009
"[Rec]",7.4,"Action, Adventure, Horror",2007
"Der Baader Meinhof Komplex",7.4,"Action, Biography, Crime",2008
"Notes on a Scandal",7.4,"Crime, Drama, Romance",2006
"El orfanato",7.4,"Drama, Horror, Mystery",2007
"Running Scared",7.4,"Action, Crime, Drama",2006
"A History of Violence",7.4,"Drama, Thriller",2005
