"Title",Rate,"Category",Year
"In the Valley of Elah",7.1,"Crime, Drama, Mystery",2007
"State of Play",7.1,"Crime, Drama, Mystery",2009
"A Scanner Darkly",7.1,"Animation, Crime, Drama",2006
"The Jacket",7.1,"Drama, Fantasy, Mystery",2005
"The Ring",7.1,"Horror, Mystery",2002
"Narc",7.1,"Crime, Drama, Mystery",2002
"Super Troopers",7.1,"Comedy, Crime, Mystery",2001
"The Salton Sea",7.1,"Crime, Drama, Mystery",2002
"The Thirteenth Floor",7.1,"Mystery, Sci-Fi, Thriller",1999
"Sneakers",7.1,"Comedy, Crime, Drama",1992
"No Way Out",7.1,"Action, Crime, Drama",1987
"Dressed to Kill",7.1,"Mystery, Thriller",1980
"Soylent Green",7.1,"Crime, Mystery, Sci-Fi",1973
"The Trouble with Harry",7.1,"Comedy, Mystery",1955
"The Killing of a Sacred Deer",7.0,"Drama, Horror, Mystery",2017
"Tully",7.0,"Comedy, Drama, Mystery",2018
"The Words",7.0,"Drama, Mystery, Romance",2012
"Super 8",7.0,"Mystery, Sci-Fi, Thriller",2011
"ParaNorman",7.0,"Animation, Adventure, Comedy",2012
"Buried",7.0,"Drama, Mystery, Thriller",2010
"Den of Thieves",7.0,"Action, Crime, Drama",2018
"Cloverfield",7.0,"Action, Adventure, Horror",2008
"Constantine",7.0,"Action, Fantasy, Horror",2005
"Wicker Park",7.0,"Drama, Mystery, Romance",2004
"Holes",7.0,"Adventure, Comedy, Drama",2003
"Bubba Ho-Tep",7.0,"Comedy, Fantasy, Horror",2002
"The Limey",7.0,"Crime, Drama, Mystery",1999
"Stir of Echoes",7.0,"Horror, Mystery, Thriller",1999
"The X Files",7.0,"Drama, Mystery, Sci-Fi",1998
"Fallen",7.0,"Action, Crime, Drama",1998
"Basic Instinct",7.0,"Drama, Mystery, Thriller",1992
"Todos lo saben",6.9,"Crime, Drama, Mystery",2018
"The VVitch: A New-England Folktale",6.9,"Drama, Horror, Mystery",2015
"Mr. Holmes",6.9,"Drama, Mystery",2015
"Annihilation",6.9,"Adventure, Drama, Horror",2018
"Enemy",6.9,"Drama, Mystery, Thriller",2013
"Non-Stop",6.9,"Action, Mystery, Thriller",2014
"The Highwaymen",6.9,"Biography, Crime, Drama",2019
"What Happened to Monday",6.9,"Action, Adventure, Crime",2017
"Martha Marcy May Marlene",6.9,"Drama, Mystery, Thriller",2011
"Legend of the Guardians: The Owls of Ga'Hoole",6.9,"Animation, Action, Adventure",2010
"Kill the Messenger",6.9,"Biography, Crime, Drama",2014
"Triangle",6.9,"Fantasy, Mystery, Thriller",2009
"Orphan",6.9,"Horror, Mystery, Thriller",2009
"Extremely Loud & Incredibly Close",6.9,"Adventure, Drama, Mystery",2011
"Inland Empire",6.9,"Drama, Mystery, Thriller",2006
"Vanilla Sky",6.9,"Fantasy, Mystery, Romance",2001
"Hearts in Atlantis",6.9,"Drama, Mystery",2001
"Les rivières pourpres",6.9,"Crime, Horror, Mystery",2000
"Suicide Kings",6.9,"Comedy, Crime, Drama",1997
"Dead Again",6.9,"Crime, Drama, Mystery",1991
"The Rescuers Down Under",6.9,"Animation, Adventure, Crime",1990
"Presumed Innocent",6.9,"Mystery, Thriller",1990
"The 'Burbs",6.9,"Comedy, Mystery, Thriller",1989
"Frantic",6.9,"Crime, Drama, Mystery",1988
"Fletch",6.9,"Comedy, Crime, Mystery",1985
"A Simple Favor",6.8,"Comedy, Crime, Drama",2018
"You Were Never Really Here",6.8,"Crime, Drama, Mystery",2017
"All the Money in the World",6.8,"Biography, Crime, Drama",2017
"Housebound",6.8,"Comedy, Horror, Mystery",2014
"The Autopsy of Jane Doe",6.8,"Horror, Mystery, Thriller",2016
"It Follows",6.8,"Horror, Mystery, Thriller",2014
"Veronica Mars",6.8,"Crime, Drama, Mystery",2014
"The Maze Runner",6.8,"Action, Mystery, Sci-Fi",2014
"Odd Thomas",6.8,"Comedy, Fantasy, Horror",2013
"Exam",6.8,"Mystery, Thriller",2009
"The Imaginarium of Doctor Parnassus",6.8,"Adventure, Comedy, Fantasy",2009
"Disturbia",6.8,"Crime, Drama, Mystery",2007
"1408",6.8,"Fantasy, Horror, Mystery",2007
"Four Brothers",6.8,"Action, Crime, Drama",2005
"Motherless Brooklyn",6.8,"Crime, Drama, Mystery",2019
"National Treasure",6.8,"Action, Adventure, Mystery",2004
"Cypher",6.8,"Mystery, Sci-Fi, Thriller",2002
"Spider",6.8,"Drama, Mystery, Thriller",2002
"From Hell",6.8,"Horror, Mystery, Thriller",2001
"The Long Kiss Goodnight",6.8,"Action, Crime, Drama",1996
"The Firm",6.8,"Drama, Mystery, Thriller",1993
"The Witches",6.8,"Adventure, Comedy, Family",1990
"Sea of Love",6.8,"Crime, Drama, Mystery",1989
"Body Double",6.8,"Crime, Drama, Mystery",1984
"2010: The Year We Make Contact",6.8,"Adventure, Mystery, Sci-Fi",1984
"I Am Mother",6.7,"Drama, Mystery, Sci-Fi",2019
"Summer of 84",6.7,"Drama, Horror, Mystery",2018
"Ich seh ich seh",6.7,"Horror, Mystery, Thriller",2014
"Divergent",6.7,"Action, Adventure, Mystery",2014
"Inherent Vice",6.7,"Comedy, Crime, Drama",2014
"Los ojos de Julia",6.7,"Horror, Mystery, Thriller",2010
"Pandorum",6.7,"Action, Horror, Mystery",2009
"Epic",6.7,"Animation, Adventure, Family",2013
"Paranoid Park",6.7,"Crime, Drama, Mystery",2007
"Angels & Demons",6.7,"Action, Mystery, Thriller",2009
"Transsiberian",6.7,"Crime, Drama, Mystery",2008
"Butterfly on a Wheel",6.7,"Crime, Drama, Mystery",2007
"Scoop",6.7,"Comedy, Crime, Fantasy",2006
"Proof",6.7,"Drama, Mystery",2005
"Gin gwai",6.7,"Horror, Mystery",2002
"Swimming Pool",6.7,"Crime, Drama, Mystery",2003
"Honogurai mizu no soko kara",6.7,"Drama, Horror, Mystery",2002
"Signs",6.7,"Drama, Mystery, Sci-Fi",2002
"The Curse of the Jade Scorpion",6.7,"Comedy, Crime, Mystery",2001
"The Bone Collector",6.7,"Crime, Drama, Mystery",1999
"The Ninth Gate",6.7,"Mystery, Thriller",1999
"Conspiracy Theory",6.7,"Action, Mystery, Thriller",1997
