"Title",Rate,"Category",Year
"Planet Terror",7.1,"Action, Adventure, Comedy",2007
"Martyrs",7.1,"Horror",2008
"The Mist",7.1,"Horror, Sci-Fi",2007
"Bakjwi",7.1,"Drama, Fantasy, Horror",2009
"Gwoemul",7.1,"Action, Drama, Horror",2006
"The Ring",7.1,"Horror, Mystery",2002
"Pitch Black",7.1,"Action, Horror, Sci-Fi",2000
"Blade",7.1,"Action, Horror, Sci-Fi",1998
"The Frighteners",7.1,"Comedy, Fantasy, Horror",1996
"Tremors",7.1,"Comedy, Horror",1990
"The Monster Squad",7.1,"Action, Comedy, Fantasy",1987
"Fright Night",7.1,"Horror, Thriller",1985
"El hoyo",7.0,"Horror, Sci-Fi, Thriller",2019
"The Killing of a Sacred Deer",7.0,"Drama, Horror, Mystery",2017
"Grave",7.0,"Drama, Horror",2016
"Green Room",7.0,"Horror, Music, Thriller",2015
"A Girl Walks Home Alone at Night",7.0,"Drama, Horror",2014
"Trolljegeren",7.0,"Drama, Fantasy, Horror",2010
"The Cabin in the Woods",7.0,"Horror",2011
"Cloverfield",7.0,"Action, Adventure, Horror",2008
"World War Z",7.0,"Action, Adventure, Horror",2013
"28 Weeks Later",7.0,"Horror, Sci-Fi",2007
"Hellboy II: The Golden Army",7.0,"Action, Adventure, Fantasy",2008
"Constantine",7.0,"Action, Fantasy, Horror",2005
"Koroshiya 1",7.0,"Action, Comedy, Crime",2001
"Bubba Ho-Tep",7.0,"Comedy, Fantasy, Horror",2002
"Le pacte des loups",7.0,"Action, Adventure, Drama",2001
"Stir of Echoes",7.0,"Horror, Mystery, Thriller",1999
"Ravenous",7.0,"Adventure, Comedy, Horror",1999
"Henry: Portrait of a Serial Killer",7.0,"Biography, Crime, Drama",1986
"Near Dark",7.0,"Action, Crime, Drama",1987
"Hellraiser",7.0,"Horror, Thriller",1987
"Little Shop of Horrors",7.0,"Comedy, Horror, Musical",1986
"Creature from the Black Lagoon",7.0,"Horror, Sci-Fi",1954
"The VVitch: A New-England Folktale",6.9,"Drama, Horror, Mystery",2015
"Annihilation",6.9,"Adventure, Drama, Horror",2018
