"Title",Rate,"Category",Year
"28 Days Later...",7.6,"Drama, Horror, Sci-Fi",2002
"Batoru rowaiaru",7.6,"Adventure, Drama, Sci-Fi",2000
"Minority Report",7.6,"Action, Crime, Mystery",2002
"Dark City",7.6,"Mystery, Sci-Fi, Thriller",1998
"Star Trek: First Contact",7.6,"Action, Adventure, Drama",1996
"The Abyss",7.6,"Adventure, Drama, Mystery",1989
"The Fly",7.6,"Drama, Horror, Sci-Fi",1986
"The Secret of NIMH",7.6,"Animation, Adventure, Drama",1982
"Mad Max 2",7.6,"Action, Adventure, Sci-Fi",1981
"Close Encounters of the Third Kind",7.6,"Drama, Sci-Fi",1977
"The Time Machine",7.6,"Adventure, Romance, Sci-Fi",1960
"Forbidden Planet",7.6,"Action, Adventure, Sci-Fi",1956
"Gojira",7.6,"Drama, Horror, Sci-Fi",1954
"A Quiet Place",7.5,"Drama, Horror, Sci-Fi",2018
"Upgrade",7.5,"Action, Horror, Sci-Fi",2018
"Spider-Man: Far from Home",7.5,"Action, Adventure, Sci-Fi",2019
"The Hunger Games: Catching Fire",7.5,"Action, Adventure, Mystery",2013
"Ready Player One",7.5,"Action, Adventure, Sci-Fi",2018
"Samâ uôzu",7.5,"Animation, Action, Adventure",2009
"Doctor Strange",7.5,"Action, Adventure, Fantasy",2016
"Source Code",7.5,"Action, Drama, Mystery",2011
"Inosensu: Innocence",7.5,"Animation, Drama, Sci-Fi",2004
"Star Wars: Episode III - Revenge of the Sith",7.5,"Action, Adventure, Fantasy",2005
"La cité des enfants perdus",7.5,"Fantasy, Sci-Fi",1995
"Total Recall",7.5,"Action, Sci-Fi, Thriller",1990
"RoboCop",7.5,"Action, Crime, Sci-Fi",1987
"War for the Planet of the Apes",7.4,"Action, Adventure, Drama",2017
"I Origins",7.4,"Drama, Romance, Sci-Fi",2014
"Spider-Man: Homecoming",7.4,"Action, Adventure, Sci-Fi",2017
"Cloud Atlas",7.4,"Action, Drama, Mystery",2012
"Looper",7.4,"Action, Adventure, Crime",2012
"[Rec]",7.4,"Action, Adventure, Horror",2007
"Wonder Woman",7.4,"Action, Adventure, Fantasy",2017
"The Curse of the Were-Rabbit",7.4,"Animation, Adventure, Comedy",2005
"X2",7.4,"Action, Sci-Fi, Thriller",2003
"K-PAX",7.4,"Drama, Mystery, Sci-Fi",2001
"Equilibrium",7.4,"Action, Drama, Sci-Fi",2002
"2046",7.4,"Drama, Romance, Sci-Fi",2004
"Pi",7.4,"Drama, Horror, Mystery",1998
"X-Men",7.4,"Action, Adventure, Sci-Fi",2000
"Contact",7.4,"Drama, Mystery, Sci-Fi",1997
"Back to the Future Part III",7.4,"Adventure, Comedy, Sci-Fi",1990
"Invasion of the Body Snatchers",7.4,"Horror, Sci-Fi",1978
"Okja",7.3,"Action, Adventure, Drama",2017
"Avengers: Age of Ultron",7.3,"Action, Adventure, Sci-Fi",2015
"Black Panther",7.3,"Action, Adventure, Sci-Fi",2018
"Despicable Me 2",7.3,"Animation, Adventure, Comedy",2013
"Rise of the Guardians",7.3,"Animation, Action, Adventure",2012
"A.R.O.G",7.3,"Comedy, Fantasy, Sci-Fi",2008
"Ant-Man",7.3,"Action, Adventure, Comedy",2015
"Alita: Battle Angel",7.3,"Action, Adventure, Sci-Fi",2019
"Spider-Man 2",7.3,"Action, Adventure, Sci-Fi",2004
"Unbreakable",7.3,"Drama, Mystery, Sci-Fi",2000
"Frequency",7.3,"Crime, Drama, Mystery",2000
"Galaxy Quest",7.3,"Adventure, Comedy, Sci-Fi",1999
"Spider-Man",7.3,"Action, Adventure, Sci-Fi",2002
"Men in Black",7.3,"Action, Adventure, Comedy",1997
"Face/Off",7.3,"Action, Crime, Sci-Fi",1997
"They Live",7.3,"Action, Horror, Sci-Fi",1988
"The Transformers: The Movie",7.3,"Animation, Action, Adventure",1986
"Star Trek IV: The Voyage Home",7.3,"Adventure, Comedy, Sci-Fi",1986
"The Return of the Living Dead",7.3,"Comedy, Horror, Sci-Fi",1985
"Superman",7.3,"Action, Adventure, Drama",1978
"Arif V 216",7.2,"Comedy, Music, Sci-Fi",2018
"The Lobster",7.2,"Comedy, Drama, Romance",2015
"Coherence",7.2,"Drama, Horror, Mystery",2013
"Dragon Ball Z: Doragon bôru Z - Kami to Kami",7.2,"Animation, Action, Adventure",2013
"Melancholia",7.2,"Drama, Sci-Fi",2011
"The Hunger Games",7.2,"Action, Adventure, Sci-Fi",2012
"Iron Man Three",7.2,"Action, Adventure, Sci-Fi",2013
"10 Cloverfield Lane",7.2,"Drama, Horror, Mystery",2016
"Megamind",7.2,"Animation, Action, Comedy",2010
"Los cronocrímenes",7.2,"Horror, Mystery, Sci-Fi",2007
"I Am Legend",7.2,"Action, Adventure, Drama",2007
"Sunshine",7.2,"Sci-Fi, Thriller",2007
"The Fountain",7.2,"Drama, Mystery, Romance",2006
"Banlieue 13",7.2,"Action, Crime, Sci-Fi",2004
"Fainaru fantajî sebun adobento chirudoren",7.2,"Animation, Action, Adventure",2005
"Lilo & Stitch",7.2,"Animation, Adventure, Comedy",2002
"The Matrix Reloaded",7.2,"Action, Sci-Fi",2003
"A.I. Artificial Intelligence",7.2,"Drama, Sci-Fi",2001
"Treasure Planet",7.2,"Animation, Adventure, Family",2002
"Cube",7.2,"Drama, Mystery, Sci-Fi",1997
"Starship Troopers",7.2,"Action, Adventure, Sci-Fi",1997
"Strange Days",7.2,"Action, Crime, Drama",1995
"Star Trek VI: The Undiscovered Country",7.2,"Action, Adventure, Sci-Fi",1991
"Re-Animator",7.2,"Comedy, Horror, Sci-Fi",1985
"Videodrome",7.2,"Horror, Sci-Fi, Thriller",1983
"The Dead Zone",7.2,"Drama, Horror, Sci-Fi",1983
"Escape from New York",7.2,"Action, Adventure, Sci-Fi",1981
"Sleeper",7.2,"Comedy, Sci-Fi",1973
"The Andromeda Strain",7.2,"Mystery, Sci-Fi, Thriller",1971
"Fahrenheit 451",7.2,"Drama, Sci-Fi",1966
"20,000 Leagues Under the Sea",7.2,"Adventure, Drama, Family",1954
"Ant-Man and the Wasp",7.1,"Action, Adventure, Comedy",2018
"The One I Love",7.1,"Comedy, Drama, Sci-Fi",2014
"Star Trek Beyond",7.1,"Action, Adventure, Sci-Fi",2016
"Robot & Frank",7.1,"Comedy, Crime, Drama",2012
"Snowpiercer",7.1,"Action, Drama, Sci-Fi",2013
"Perfect Sense",7.1,"Drama, Romance, Sci-Fi",2011
"Dredd",7.1,"Action, Crime, Sci-Fi",2012
"Never Let Me Go",7.1,"Drama, Romance, Sci-Fi",2010
"Frequently Asked Questions About Time Travel",7.1,"Comedy, Sci-Fi",2009
"The Mist",7.1,"Horror, Sci-Fi",2007
"Gwoemul",7.1,"Action, Drama, Horror",2006
"The Time Traveler's Wife",7.1,"Drama, Fantasy, Romance",2009
"Real Steel",7.1,"Action, Drama, Family",2011
"A Scanner Darkly",7.1,"Animation, Crime, Drama",2006
"The Jacket",7.1,"Drama, Fantasy, Mystery",2005
